Epoch 1/20 | Avg Loss: 0.000440
Epoch 2/20 | Avg Loss: 0.000234
Epoch 3/20 | Avg Loss: 0.000077
Epoch 4/20 | Avg Loss: 0.000053
Epoch 5/20 | Avg Loss: 0.000038
Epoch 6/20 | Avg Loss: 0.000029
Epoch 7/20 | Avg Loss: 0.000021
Epoch 8/20 | Avg Loss: 0.000017
Epoch 9/20 | Avg Loss: 0.000014
Epoch 10/20 | Avg Loss: 0.000011
Epoch 11/20 | Avg Loss: 0.000010
Epoch 12/20 | Avg Loss: 0.000008
Epoch 13/20 | Avg Loss: 0.000008
Epoch 14/20 | Avg Loss: 0.000007
Epoch 15/20 | Avg Loss: 0.000006
Epoch 16/20 | Avg Loss: 0.000005
Epoch 17/20 | Avg Loss: 0.000005
Epoch 18/20 | Avg Loss: 0.000004
Epoch 19/20 | Avg Loss: 0.000004
Epoch 20/20 | Avg Loss: 0.000003
