Epoch 1/20 | Avg Loss: 0.000405
Epoch 2/20 | Avg Loss: 0.000144
Epoch 3/20 | Avg Loss: 0.000071
Epoch 4/20 | Avg Loss: 0.000059
Epoch 5/20 | Avg Loss: 0.000048
Epoch 6/20 | Avg Loss: 0.000043
Epoch 7/20 | Avg Loss: 0.000042
Epoch 8/20 | Avg Loss: 0.000040
Epoch 9/20 | Avg Loss: 0.000037
Epoch 10/20 | Avg Loss: 0.000035
Epoch 11/20 | Avg Loss: 0.000034
Epoch 12/20 | Avg Loss: 0.000033
Epoch 13/20 | Avg Loss: 0.000033
Epoch 14/20 | Avg Loss: 0.000032
Epoch 15/20 | Avg Loss: 0.000031
Epoch 16/20 | Avg Loss: 0.000031
Epoch 17/20 | Avg Loss: 0.000031
Epoch 18/20 | Avg Loss: 0.000030
Epoch 19/20 | Avg Loss: 0.000030
Epoch 20/20 | Avg Loss: 0.000030
